fit_pressure(kbar)
3.978104527059775464e+00
1.394694839680784426e+01
2.395652216961876846e+01
3.349051918701608344e+01
4.396262948276214644e+01
5.401779915252544129e+01
6.406286272450674346e+01
7.361913008983323436e+01
8.340126034855960313e+01
9.399979101038189810e+01
1.039651269283195631e+02
1.131402762798097825e+02
1.246947342096112692e+02
1.340874039788218113e+02
1.421509095655571571e+02
1.541171315363933729e+02
